field_id,subset,phenotype_description,type
40001,G26,Cause of death: Extrapyramidal and movement disorders in diseases classified elsewhere,binary
40001,G30,Cause of death: Alzheimer's disease,binary
40001,G31,"Cause of death: Other degenerative diseases of nervous system, not elsewhere classified",binary
40001,G32,Cause of death: Other degenerative disorders of nervous system in diseases classified elsewhere,binary
40001,G35,Cause of death: Multiple sclerosis,binary
40001,G36,Cause of death: Other acute disseminated demyelination,binary
40001,G37,Cause of death: Other demyelinating diseases of central nervous system,binary
40001,G40,Cause of death: Epilepsy,binary
40001,G41,Cause of death: Status epilepticus,binary
40001,G43,Cause of death: Migraine,binary
40001,G44,Cause of death: Other headache syndromes,binary
40001,G45,Cause of death: Transient cerebral ischaemic attacks and related syndromes,binary
40001,G46,Cause of death: Vascular syndromes of brain in cerebrovascular diseases,binary
40001,G47,Cause of death: Sleep disorders,binary
40001,G50,Cause of death: Disorders of trigeminal nerve,binary
40001,G51,Cause of death: Facial nerve disorders,binary
40001,G52,Cause of death: Disorders of other cranial nerves,binary
40001,G53,Cause of death: Cranial nerve disorders in diseases classified elsewhere,binary
40001,G54,Cause of death: Nerve root and plexus disorders,binary
40001,G55,Cause of death: Nerve root and plexus compressions in diseases classified elsewhere,binary
40001,G56,Cause of death: Mononeuropathies of upper limb,binary
40001,G57,Cause of death: Mononeuropathies of lower limb,binary
40001,G58,Cause of death: Other mononeuropathies,binary
40001,G59,Cause of death: Mononeuropathy in diseases classified elsewhere,binary
40001,G60,Cause of death: Hereditary and idiopathic neuropathy,binary
40001,G61,Cause of death: Inflammatory polyneuropathy,binary
40001,G62,Cause of death: Other polyneuropathies,binary
40001,G63,Cause of death: Polyneuropathy in diseases classified elsewhere,binary
40001,G64,Cause of death: Other disorders of peripheral nervous system,binary
40001,G70,Cause of death: Myasthenia gravis and other myoneural disorders,binary
40001,G71,Cause of death: Primary disorders of muscles,binary
40001,G72,Cause of death: Other myopathies,binary
40001,G73,Cause of death: Disorders of myoneural junction and muscle in diseases classified elsewhere,binary
40001,G80,Cause of death: Infantile cerebral palsy,binary
40001,G81,Cause of death: Hemiplegia,binary
40001,G82,Cause of death: Paraplegia and tetraplegia,binary
40001,G83,Cause of death: Other paralytic syndromes,binary
40001,G90,Cause of death: Disorders of autonomic nervous system,binary
40001,G91,Cause of death: Hydrocephalus,binary
40001,G92,Cause of death: Toxic encephalopathy,binary
40001,G93,Cause of death: Other disorders of brain,binary
40001,G94,Cause of death: Other disorders of brain in diseases classified elsewhere,binary
40001,G95,Cause of death: Other diseases of spinal cord,binary
40001,G96,Cause of death: Other disorders of central nervous system,binary
40001,G97,"Cause of death: Postprocedural disorders of nervous system, not elsewhere classified",binary
40001,G98,"Cause of death: Other disorders of nervous system, not elsewhere classified",binary
40001,G99,Cause of death: Other disorders of nervous system in diseases classified elsewhere,binary
40001,H00,Cause of death: Hordeolum and chalazion,binary
40001,H01,Cause of death: Other inflammation of eyelid,binary
40001,H02,Cause of death: Other disorders of eyelid,binary
40001,H03,Cause of death: Disorders of eyelid in diseases classified elsewhere,binary
40001,H04,Cause of death: Disorders of lachrymal system,binary
40001,H05,Cause of death: Disorders of orbit,binary
40001,H06,Cause of death: Disorders of lachrymal system and orbit in diseases classified elsewhere,binary
40001,H10,Cause of death: Conjunctivitis,binary
40001,H11,Cause of death: Other disorders of conjunctiva,binary
40001,H13,Cause of death: Disorders of conjunctiva in diseases classified elsewhere,binary
40001,H15,Cause of death: Disorders of sclera,binary
40001,H16,Cause of death: Keratitis,binary
40001,H17,Cause of death: Corneal scars and opacities,binary
40001,H18,Cause of death: Other disorders of cornea,binary
40001,H19,Cause of death: Disorders of sclera and cornea in diseases classified elsewhere,binary
40001,H20,Cause of death: Iridocyclitis,binary
40001,H21,Cause of death: Other disorders of iris and ciliary body,binary
40001,H22,Cause of death: Disorders of iris and ciliary body in diseases classified elsewhere,binary
40001,H25,Cause of death: Senile cataract,binary
40001,H26,Cause of death: Other cataract,binary
40001,H27,Cause of death: Other disorders of lens,binary
40001,H28,Cause of death: Cataract and other disorders of lens in diseases classified elsewhere,binary
40001,H30,Cause of death: Chorioretinal inflammation,binary
40001,H31,Cause of death: Other disorders of choroid,binary
40001,H32,Cause of death: Chorioretinal disorders in diseases classified elsewhere,binary
40001,H33,Cause of death: Retinal detachments and breaks,binary
40001,H34,Cause of death: Retinal vascular occlusions,binary
40001,H35,Cause of death: Other retinal disorders,binary
40001,H36,Cause of death: Retinal disorders in diseases classified elsewhere,binary
40001,H40,Cause of death: Glaucoma,binary
40001,H42,Cause of death: Glaucoma in diseases classified elsewhere,binary
40001,H43,Cause of death: Disorders of vitreous body,binary
40001,H44,Cause of death: Disorders of globe,binary
40001,H45,Cause of death: Disorders of vitreous body and globe in diseases classified elsewhere,binary
40001,H46,Cause of death: Optic neuritis,binary
40001,H47,Cause of death: Other disorders of optic [2nd] nerve and visual pathways,binary
40001,H48,Cause of death: Disorders of optic [2nd] nerve and visual pathways in diseases classified elsewhere,binary
40001,H49,Cause of death: Paralytic strabismus,binary
40001,H50,Cause of death: Other strabismus,binary
40001,H51,Cause of death: Other disorders of binocular movement,binary
40001,H52,Cause of death: Disorders of refraction and accommodation,binary
40001,H53,Cause of death: Visual disturbances,binary
40001,H54,Cause of death: Blindness and low vision,binary
40001,H55,Cause of death: Nystagmus and other irregular eye movements,binary
40001,H57,Cause of death: Other disorders of eye and adnexa,binary
40001,H58,Cause of death: Other disorders of eye and adnexa in diseases classified elsewhere,binary
40001,H59,"Cause of death: Postprocedural disorders of eye and adnexa, not elsewhere classified",binary
40001,H60,Cause of death: Otitis externa,binary
40001,H61,Cause of death: Other disorders of external ear,binary
40001,H62,Cause of death: Disorders of external ear in diseases classified elsewhere,binary
40001,H65,Cause of death: Nonsuppurative otitis media,binary
40001,H66,Cause of death: Suppurative and unspecified otitis media,binary
40001,H67,Cause of death: Otitis media in diseases classified elsewhere,binary
40001,H68,Cause of death: Eustachian salpingitis and obstruction,binary
40001,H69,Cause of death: Other disorders of Eustachian tube,binary
40001,H70,Cause of death: Mastoiditis and related conditions,binary
40001,H71,Cause of death: Cholesteatoma of middle ear,binary
40001,H72,Cause of death: Perforation of tympanic membrane,binary
40001,H73,Cause of death: Other disorders of tympanic membrane,binary
40001,H74,Cause of death: Other disorders of middle ear and mastoid,binary
40001,H75,Cause of death: Other disorders of middle ear and mastoid in diseases classified elsewhere,binary
40001,H80,Cause of death: Otosclerosis,binary
40001,H81,Cause of death: Disorders of vestibular function,binary
40001,H82,Cause of death: Vertiginous syndromes in diseases classified elsewhere,binary
40001,H83,Cause of death: Other diseases of inner ear,binary
40001,H90,Cause of death: Conductive and sensorineural hearing loss,binary
40001,H91,Cause of death: Other hearing loss,binary
40001,H92,Cause of death: Otalgia and effusion of ear,binary
40001,H93,"Cause of death: Other disorders of ear, not elsewhere classified",binary
40001,H94,Cause of death: Other disorders of ear in diseases classified elsewhere,binary
40001,H95,"Cause of death: Postprocedural disorders of ear and mastoid process, not elsewhere classified",binary
40001,I00,Cause of death: Rheumatic fever without mention of heart involvement,binary
40001,I01,Cause of death: Rheumatic fever with heart involvement,binary
40001,I02,Cause of death: Rheumatic chorea,binary
40001,I05,Cause of death: Rheumatic mitral valve diseases,binary
40001,I06,Cause of death: Rheumatic aortic valve diseases,binary
40001,I07,Cause of death: Rheumatic tricuspid valve diseases,binary
40001,I08,Cause of death: Multiple valve diseases,binary
40001,I09,Cause of death: Other rheumatic heart diseases,binary
40001,I10,Cause of death: Essential (primary) hypertension,binary
40001,I11,Cause of death: Hypertensive heart disease,binary
40001,I12,Cause of death: Hypertensive renal disease,binary
40001,I13,Cause of death: Hypertensive heart and renal disease,binary
40001,I15,Cause of death: Secondary hypertension,binary
40001,I20,Cause of death: Angina pectoris,binary
40001,I21,Cause of death: Acute myocardial infarction,binary
40001,I22,Cause of death: Subsequent myocardial infarction,binary
40001,I23,Cause of death: Certain current complications following acute myocardial infarction,binary
40001,I24,Cause of death: Other acute ischaemic heart diseases,binary
40001,I25,Cause of death: Chronic ischaemic heart disease,binary
40001,I26,Cause of death: Pulmonary embolism,binary
40001,I27,Cause of death: Other pulmonary heart diseases,binary
40001,I28,Cause of death: Other diseases of pulmonary vessels,binary
40001,I30,Cause of death: Acute pericarditis,binary
40001,I31,Cause of death: Other diseases of pericardium,binary
40001,I32,Cause of death: Pericarditis in diseases classified elsewhere,binary
40001,I33,Cause of death: Acute and subacute endocarditis,binary
40001,I34,Cause of death: Nonrheumatic mitral valve disorders,binary
40001,I35,Cause of death: Nonrheumatic aortic valve disorders,binary
40001,I36,Cause of death: Nonrheumatic tricuspid valve disorders,binary
40001,I37,Cause of death: Pulmonary valve disorders,binary
40001,I38,"Cause of death: Endocarditis, valve unspecified",binary
40001,I39,Cause of death: Endocarditis and heart valve disorders in diseases classified elsewhere,binary
40001,I40,Cause of death: Acute myocarditis,binary
40001,I41,Cause of death: Myocarditis in diseases classified elsewhere,binary
40001,I42,Cause of death: Cardiomyopathy,binary
40001,I43,Cause of death: Cardiomyopathy in diseases classified elsewhere,binary
40001,I44,Cause of death: Atrioventricular and left bundle-branch block,binary
40001,I45,Cause of death: Other conduction disorders,binary
40001,I46,Cause of death: Cardiac arrest,binary
40001,I47,Cause of death: Paroxysmal tachycardia,binary
40001,I48,Cause of death: Atrial fibrillation and flutter,binary
40001,I49,Cause of death: Other cardiac arrhythmias,binary
40001,I50,Cause of death: Heart failure,binary
40001,I51,Cause of death: Complications and ill-defined descriptions of heart disease,binary
40001,I52,Cause of death: Other heart disorders in diseases classified elsewhere,binary
40001,I60,Cause of death: Subarachnoid haemorrhage,binary
40001,I61,Cause of death: Intracerebral haemorrhage,binary
40001,I62,Cause of death: Other nontraumatic intracranial haemorrhage,binary
40001,I63,Cause of death: Cerebral infarction,binary
40001,I64,"Cause of death: Stroke, not specified as haemorrhage or infarction",binary
40001,I65,"Cause of death: Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction",binary
40001,I66,"Cause of death: Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction",binary
40001,I67,Cause of death: Other cerebrovascular diseases,binary
40001,I68,Cause of death: Cerebrovascular disorders in diseases classified elsewhere,binary
40001,I69,Cause of death: Sequelae of cerebrovascular disease,binary
40001,I70,Cause of death: Atherosclerosis,binary
40001,I71,Cause of death: Aortic aneurysm and dissection,binary
40001,I72,Cause of death: Other aneurysm,binary
40001,I73,Cause of death: Other peripheral vascular diseases,binary
40001,I74,Cause of death: Arterial embolism and thrombosis,binary
40001,I77,Cause of death: Other disorders of arteries and arterioles,binary
40001,I78,Cause of death: Diseases of capillaries,binary
40001,I79,"Cause of death: Disorders of arteries, arterioles and capillaries in diseases classified elsewhere",binary
40001,I80,Cause of death: Phlebitis and thrombophlebitis,binary
40001,I81,Cause of death: Portal vein thrombosis,binary
40001,I82,Cause of death: Other venous embolism and thrombosis,binary
40001,I83,Cause of death: Varicose veins of lower extremities,binary
40001,I84,Cause of death: Haemorrhoids,binary
40001,I85,Cause of death: Oesophageal varices,binary
40001,I86,Cause of death: Varicose veins of other sites,binary
40001,I87,Cause of death: Other disorders of veins,binary
40001,I88,Cause of death: Nonspecific lymphadenitis,binary
40001,I89,Cause of death: Other non-infective disorders of lymphatic vessels and lymph nodes,binary
40001,I95,Cause of death: Hypotension,binary
40001,I97,"Cause of death: Postprocedural disorders of circulatory system, not elsewhere classified",binary
40001,I98,Cause of death: Other disorders of circulatory system in diseases classified elsewhere,binary
40001,I99,Cause of death: Other and unspecified disorders of circulatory system,binary
40001,J00,Cause of death: Acute nasopharyngitis [common cold],binary
40001,J01,Cause of death: Acute sinusitis,binary
40001,J02,Cause of death: Acute pharyngitis,binary
40001,J03,Cause of death: Acute tonsillitis,binary
40001,J04,Cause of death: Acute laryngitis and tracheitis,binary
40001,J05,Cause of death: Acute obstructive laryngitis [croup] and epiglottitis,binary
40001,J06,Cause of death: Acute upper respiratory infections of multiple and unspecified sites,binary
40001,J09,Cause of death: Influenza due to certain identified influenza virus,binary
40001,J10,Cause of death: Influenza due to identified influenza virus,binary
40001,J11,"Cause of death: Influenza, virus not identified",binary
40001,J12,"Cause of death: Viral pneumonia, not elsewhere classified",binary
40001,J13,Cause of death: Pneumonia due to Streptococcus pneumoniae,binary
40001,J14,Cause of death: Pneumonia due to Haemophilus influenzae,binary
40001,J15,"Cause of death: Bacterial pneumonia, not elsewhere classified",binary
40001,J16,"Cause of death: Pneumonia due to other infectious organisms, not elsewhere classified",binary
40001,J17,Cause of death: Pneumonia in diseases classified elsewhere,binary
40001,J18,"Cause of death: Pneumonia, organism unspecified",binary
40001,J20,Cause of death: Acute bronchitis,binary
40001,J21,Cause of death: Acute bronchiolitis,binary
40001,J22,Cause of death: Unspecified acute lower respiratory infection,binary
40001,J30,Cause of death: Vasomotor and allergic rhinitis,binary
40001,J31,"Cause of death: Chronic rhinitis, nasopharyngitis and pharyngitis",binary
40001,J32,Cause of death: Chronic sinusitis,binary
40001,J33,Cause of death: Nasal polyp,binary
40001,J34,Cause of death: Other disorders of nose and nasal sinuses,binary
40001,J35,Cause of death: Chronic diseases of tonsils and adenoids,binary
40001,J36,Cause of death: Peritonsillar abscess,binary
40001,J37,Cause of death: Chronic laryngitis and laryngotracheitis,binary
40001,J38,"Cause of death: Diseases of vocal cords and larynx, not elsewhere classified",binary
40001,J39,Cause of death: Other diseases of upper respiratory tract,binary
40001,J40,"Cause of death: Bronchitis, not specified as acute or chronic",binary
40001,J41,Cause of death: Simple and mucopurulent chronic bronchitis,binary
40001,J42,Cause of death: Unspecified chronic bronchitis,binary
40001,J43,Cause of death: Emphysema,binary
40001,J44,Cause of death: Other chronic obstructive pulmonary disease,binary
40001,J45,Cause of death: Asthma,binary
40001,J46,Cause of death: Status asthmaticus,binary
40001,J47,Cause of death: Bronchiectasis,binary
40001,J60,Cause of death: Coalworker's pneumoconiosis,binary
40001,J61,Cause of death: Pneumoconiosis due to asbestos and other mineral fibres,binary
40001,J62,Cause of death: Pneumoconiosis due to dust containing silica,binary
40001,J63,Cause of death: Pneumoconiosis due to other inorganic dusts,binary
40001,J64,Cause of death: Unspecified pneumoconiosis,binary
40001,J65,Cause of death: Pneumoconiosis associated with tuberculosis,binary
40001,J66,Cause of death: Airway disease due to specific organic dust,binary
40001,J67,Cause of death: Hypersensitivity pneumonitis due to organic dust,binary
40001,J68,"Cause of death: Respiratory conditions due to inhalation of chemicals, gases, fumes and vapours",binary
40001,J69,Cause of death: Pneumonitis due to solids and liquids,binary
40001,J70,Cause of death: Respiratory conditions due to other external agents,binary
40001,J80,Cause of death: Adult respiratory distress syndrome,binary
40001,J81,Cause of death: Pulmonary oedema,binary
40001,J82,"Cause of death: Pulmonary eosinophilia, not elsewhere classified",binary
40001,J84,Cause of death: Other interstitial pulmonary diseases,binary
40001,J85,Cause of death: Abscess of lung and mediastinum,binary
40001,J86,Cause of death: Pyothorax,binary
40001,J90,"Cause of death: Pleural effusion, not elsewhere classified",binary
40001,J91,Cause of death: Pleural effusion in conditions classified elsewhere,binary
40001,J92,Cause of death: Pleural plaque,binary
40001,J93,Cause of death: Pneumothorax,binary
40001,J94,Cause of death: Other pleural conditions,binary
40001,J95,"Cause of death: Postprocedural respiratory disorders, not elsewhere classified",binary
40001,J96,"Cause of death: Respiratory failure, not elsewhere classified",binary
40001,J98,Cause of death: Other respiratory disorders,binary
40001,J99,Cause of death: Respiratory disorders in diseases classified elsewhere,binary
40001,K00,Cause of death: Disorders of tooth development and eruption,binary
40001,K01,Cause of death: Embedded and impacted teeth,binary
40001,K02,Cause of death: Dental caries,binary
40001,K03,Cause of death: Other diseases of hard tissues of teeth,binary
40001,K04,Cause of death: Diseases of pulp and periapical tissues,binary
40001,K05,Cause of death: Gingivitis and periodontal diseases,binary
40001,K06,Cause of death: Other disorders of gingiva and edentulous alveolar ridge,binary
40001,K07,Cause of death: Dentofacial anomalies [including malocclusion],binary
40001,K08,Cause of death: Other disorders of teeth and supporting structures,binary
40001,K09,"Cause of death: Cysts of oral region, not elsewhere classified",binary
40001,K10,Cause of death: Other diseases of jaws,binary
40001,K11,Cause of death: Diseases of salivary glands,binary
40001,K12,Cause of death: Stomatitis and related lesions,binary
40001,K13,Cause of death: Other diseases of lip and oral mucosa,binary
40001,K14,Cause of death: Diseases of tongue,binary
40001,K20,Cause of death: Oesophagitis,binary
40001,K21,Cause of death: Gastro-oesophageal reflux disease,binary
40001,K22,Cause of death: Other diseases of oesophagus,binary
40001,K23,Cause of death: Disorders of oesophagus in diseases classified elsewhere,binary
40001,K25,Cause of death: Gastric ulcer,binary
40001,K26,Cause of death: Duodenal ulcer,binary
40001,K27,"Cause of death: Peptic ulcer, site unspecified",binary
40001,K28,Cause of death: Gastrojejunal ulcer,binary
40001,K29,Cause of death: Gastritis and duodenitis,binary
40001,K30,Cause of death: Dyspepsia,binary
40001,K31,Cause of death: Other diseases of stomach and duodenum,binary
40001,K35,Cause of death: Acute appendicitis,binary
40001,K36,Cause of death: Other appendicitis,binary
40001,K37,Cause of death: Unspecified appendicitis,binary
40001,K38,Cause of death: Other diseases of appendix,binary
40001,K40,Cause of death: Inguinal hernia,binary
40001,K41,Cause of death: Femoral hernia,binary
40001,K42,Cause of death: Umbilical hernia,binary
40001,K43,Cause of death: Ventral hernia,binary
40001,K44,Cause of death: Diaphragmatic hernia,binary
40001,K45,Cause of death: Other abdominal hernia,binary
40001,K46,Cause of death: Unspecified abdominal hernia,binary
40001,K50,Cause of death: Crohn's disease [regional enteritis],binary
40001,K51,Cause of death: Ulcerative colitis,binary
40001,K52,Cause of death: Other non-infective gastro-enteritis and colitis,binary
40001,K55,Cause of death: Vascular disorders of intestine,binary
40001,K56,Cause of death: Paralytic ileus and intestinal obstruction without hernia,binary
40001,K57,Cause of death: Diverticular disease of intestine,binary
40001,K58,Cause of death: Irritable bowel syndrome,binary
40001,K59,Cause of death: Other functional intestinal disorders,binary
40001,K60,Cause of death: Fissure and fistula of anal and rectal regions,binary
40001,K61,Cause of death: Abscess of anal and rectal regions,binary
40001,K62,Cause of death: Other diseases of anus and rectum,binary
40001,K63,Cause of death: Other diseases of intestine,binary
40001,K64,Cause of death: Haemorrhoids and perianal venous thrombosis,binary
40001,K65,Cause of death: Peritonitis,binary
40001,K66,Cause of death: Other disorders of peritoneum,binary
40001,K67,Cause of death: Disorders of peritoneum in infectious diseases classified elsewhere,binary
40001,K70,Cause of death: Alcoholic liver disease,binary
40001,K71,Cause of death: Toxic liver disease,binary
40001,K72,"Cause of death: Hepatic failure, not elsewhere classified",binary
40001,K73,"Cause of death: Chronic hepatitis, not elsewhere classified",binary
40001,K74,Cause of death: Fibrosis and cirrhosis of liver,binary
40001,K75,Cause of death: Other inflammatory liver diseases,binary
40001,K76,Cause of death: Other diseases of liver,binary
40001,K77,Cause of death: Liver disorders in diseases classified elsewhere,binary
40001,K80,Cause of death: Cholelithiasis,binary
40001,K81,Cause of death: Cholecystitis,binary
40001,K82,Cause of death: Other diseases of gallbladder,binary
40001,K83,Cause of death: Other diseases of biliary tract,binary
40001,K85,Cause of death: Acute pancreatitis,binary
40001,K86,Cause of death: Other diseases of pancreas,binary
40001,K87,"Cause of death: Disorders of gallbladder, biliary tract and pancreas in diseases classified elsewhere",binary
40001,K90,Cause of death: Intestinal malabsorption,binary
40001,K91,"Cause of death: Postprocedural disorders of digestive system, not elsewhere classified",binary
40001,K92,Cause of death: Other diseases of digestive system,binary
40001,K93,Cause of death: Disorders of other digestive organs in diseases classified elsewhere,binary
40001,L00,Cause of death: Staphylococcal scalded skin syndrome,binary
40001,L01,Cause of death: Impetigo,binary
40001,L02,"Cause of death: Cutaneous abscess, furuncle and carbuncle",binary
40001,L03,Cause of death: Cellulitis,binary
40001,L04,Cause of death: Acute lymphadenitis,binary
40001,L05,Cause of death: Pilonidal cyst,binary
40001,L08,Cause of death: Other local infections of skin and subcutaneous tissue,binary
40001,L10,Cause of death: Pemphigus,binary
40001,L11,Cause of death: Other acantholytic disorders,binary
40001,L12,Cause of death: Pemphigoid,binary
40001,L13,Cause of death: Other bullous disorders,binary
40001,L14,Cause of death: Bullous disorders in diseases classified elsewhere,binary
40001,L20,Cause of death: Atopic dermatitis,binary
40001,L21,Cause of death: Seborrhoeic dermatitis,binary
40001,L22,Cause of death: Diaper [napkin] dermatitis,binary
40001,L23,Cause of death: Allergic contact dermatitis,binary
40001,L24,Cause of death: Irritant contact dermatitis,binary
40001,L25,Cause of death: Unspecified contact dermatitis,binary
40001,L26,Cause of death: Exfoliative dermatitis,binary
40001,L27,Cause of death: Dermatitis due to substances taken internally,binary
40001,L28,Cause of death: Lichen simplex chronicus and prurigo,binary
40001,L29,Cause of death: Pruritus,binary
40001,L30,Cause of death: Other dermatitis,binary
40001,L40,Cause of death: Psoriasis,binary
40001,L41,Cause of death: Parapsoriasis,binary
40001,L42,Cause of death: Pityriasis rosea,binary
40001,L43,Cause of death: Lichen planus,binary
40001,L44,Cause of death: Other papulosquamous disorders,binary
40001,L45,Cause of death: Papulosquamous disorders in diseases classified elsewhere,binary
40001,L50,Cause of death: Urticaria,binary
40001,L51,Cause of death: Erythema multiforme,binary
40001,L52,Cause of death: Erythema nodosum,binary
40001,L53,Cause of death: Other erythematous conditions,binary
40001,L54,Cause of death: Erythema in diseases classified elsewhere,binary
40001,L55,Cause of death: Sunburn,binary
40001,L56,Cause of death: Other acute skin changes due to ultraviolet radiation,binary
40001,L57,Cause of death: Skin changes due to chronic exposure to nonionising radiation,binary
40001,L58,Cause of death: Radiodermatitis,binary
40001,L59,Cause of death: Other disorders of skin and subcutaneous tissue related to radiation,binary
40001,L60,Cause of death: Nail disorders,binary
40001,L62,Cause of death: Nail disorders in diseases classified elsewhere,binary
40001,L63,Cause of death: Alopecia areata,binary
40001,L64,Cause of death: Androgenic alopecia,binary
40001,L65,Cause of death: Other nonscarring hair loss,binary
40001,L66,Cause of death: Cicatricial alopecia [scarring hair loss],binary
40001,L67,Cause of death: Hair colour and hair shaft abnormalities,binary
40001,L68,Cause of death: Hypertrichosis,binary
40001,L70,Cause of death: Acne,binary
40001,L71,Cause of death: Rosacea,binary
40001,L72,Cause of death: Follicular cysts of skin and subcutaneous tissue,binary
40001,L73,Cause of death: Other follicular disorders,binary
40001,L74,Cause of death: Eccrine sweat disorders,binary
40001,L75,Cause of death: Apocrine sweat disorders,binary
40001,L80,Cause of death: Vitiligo,binary
40001,L81,Cause of death: Other disorders of pigmentation,binary
40001,L82,Cause of death: Seborrhoeic keratosis,binary
40001,L83,Cause of death: Acanthosis nigricans,binary
40001,L84,Cause of death: Corns and callosities,binary
40001,L85,Cause of death: Other epidermal thickening,binary
40001,L86,Cause of death: Keratoderma in diseases classified elsewhere,binary
40001,L87,Cause of death: Transepidermal elimination disorders,binary
40001,L88,Cause of death: Pyoderma gangrenosum,binary
40001,L89,Cause of death: Decubitus ulcer,binary
40001,L90,Cause of death: Atrophic disorders of skin,binary
40001,L91,Cause of death: Hypertrophic disorders of skin,binary
40001,L92,Cause of death: Granulomatous disorders of skin and subcutaneous tissue,binary
40001,L93,Cause of death: Lupus erythematosus,binary
40001,L94,Cause of death: Other localised connective tissue disorders,binary
40001,L95,"Cause of death: Vasculitis limited to skin, not elsewhere classified",binary
40001,L97,"Cause of death: Ulcer of lower limb, not elsewhere classified",binary
40001,L98,"Cause of death: Other disorders of skin and subcutaneous tissue, not elsewhere classified",binary
40001,L99,Cause of death: Other disorders of skin and subcutaneous tissue in diseases classified elsewhere,binary
40001,M00,Cause of death: Pyogenic arthritis,binary
40001,M01,Cause of death: Direct infections of joint in infectious and parasitic diseases classified elsewhere,binary
40001,M02,Cause of death: Reactive arthropathies,binary
40001,M03,Cause of death: Postinfective and reactive arthropathies in diseases classified elsewhere,binary
40001,M05,Cause of death: Seropositive rheumatoid arthritis,binary
40001,M06,Cause of death: Other rheumatoid arthritis,binary
40001,M07,Cause of death: Psoriatic and enteropathic arthropathies,binary
40001,M08,Cause of death: Juvenile arthritis,binary
40001,M09,Cause of death: Juvenile arthritis in diseases classified elsewhere,binary
40001,M10,Cause of death: Gout,binary
40001,M11,Cause of death: Other crystal arthropathies,binary
40001,M12,Cause of death: Other specific arthropathies,binary
40001,M13,Cause of death: Other arthritis,binary
40001,M14,Cause of death: Arthropathies in other diseases classified elsewhere,binary
40001,M15,Cause of death: Polyarthrosis,binary
40001,M16,Cause of death: Coxarthrosis [arthrosis of hip],binary
40001,M17,Cause of death: Gonarthrosis [arthrosis of knee],binary
40001,M18,Cause of death: Arthrosis of first carpometacarpal joint,binary
40001,M19,Cause of death: Other arthrosis,binary
40001,M20,Cause of death: Acquired deformities of fingers and toes,binary
40001,M21,Cause of death: Other acquired deformities of limbs,binary
40001,M22,Cause of death: Disorders of patella,binary
40001,M23,Cause of death: Internal derangement of knee,binary
40001,M24,Cause of death: Other specific joint derangements,binary
40001,M25,"Cause of death: Other joint disorders, not elsewhere classified",binary
40001,M30,Cause of death: Polyarteritis nodosa and related conditions,binary
40001,M31,Cause of death: Other necrotising vasculopathies,binary
40001,M32,Cause of death: Systemic lupus erythematosus,binary
40001,M33,Cause of death: Dermatopolymyositis,binary
40001,M34,Cause of death: Systemic sclerosis,binary
40001,M35,Cause of death: Other systemic involvement of connective tissue,binary
40001,M36,Cause of death: Systemic disorders of connective tissue in diseases classified elsewhere,binary
40001,M40,Cause of death: Kyphosis and lordosis,binary
40001,M41,Cause of death: Scoliosis,binary
40001,M42,Cause of death: Spinal osteochondrosis,binary
40001,M43,Cause of death: Other deforming dorsopathies,binary
40001,M45,Cause of death: Ankylosing spondylitis,binary
40001,M46,Cause of death: Other inflammatory spondylopathies,binary
40001,M47,Cause of death: Spondylosis,binary
40001,M48,Cause of death: Other spondylopathies,binary
40001,M49,Cause of death: Spondylopathies in diseases classified elsewhere,binary
40001,M50,Cause of death: Cervical disk disorders,binary
40001,M51,Cause of death: Other intervertebral disk disorders,binary
40001,M53,"Cause of death: Other dorsopathies, not elsewhere classified",binary
40001,M54,Cause of death: Dorsalgia,binary
40001,M60,Cause of death: Myositis,binary
40001,M61,Cause of death: Calcification and ossification of muscle,binary
40001,M62,Cause of death: Other disorders of muscle,binary
40001,M63,Cause of death: Disorders of muscle in diseases classified elsewhere,binary
40001,M65,Cause of death: Synovitis and tenosynovitis,binary
40001,M66,Cause of death: Spontaneous rupture of synovium and tendon,binary
40001,M67,Cause of death: Other disorders of synovium and tendon,binary
40001,M68,Cause of death: Disorders of synovium and tendon in diseases classified elsewhere,binary
40001,M70,"Cause of death: Soft tissue disorders related to use, overuse and pressure",binary
40001,M71,Cause of death: Other bursopathies,binary
40001,M72,Cause of death: Fibroblastic disorders,binary
40001,M73,Cause of death: Soft tissue disorders in diseases classified elsewhere,binary
40001,M75,Cause of death: Shoulder lesions,binary
40001,M76,"Cause of death: Enthesopathies of lower limb, excluding foot",binary
40001,M77,Cause of death: Other enthesopathies,binary
40001,M79,"Cause of death: Other soft tissue disorders, not elsewhere classified",binary
40001,M80,Cause of death: Osteoporosis with pathological fracture,binary
40001,M81,Cause of death: Osteoporosis without pathological fracture,binary
40001,M82,Cause of death: Osteoporosis in diseases classified elsewhere,binary
40001,M83,Cause of death: Adult osteomalacia,binary
40001,M84,Cause of death: Disorders of continuity of bone,binary
40001,M85,Cause of death: Other disorders of bone density and structure,binary
40001,M86,Cause of death: Osteomyelitis,binary
40001,M87,Cause of death: Osteonecrosis,binary
40001,M88,Cause of death: Paget's disease of bone [osteitis deformans],binary
40001,M89,Cause of death: Other disorders of bone,binary
40001,M90,Cause of death: Osteopathies in diseases classified elsewhere,binary
40001,M91,Cause of death: Juvenile osteochondrosis of hip and pelvis,binary
40001,M92,Cause of death: Other juvenile osteochondrosis,binary
